genome,Group
CP053941_Halorubrum,Halo
DAL-9Gt_24_95C0R_Halo,Halo
DAL-9Gt_34_99C0R_Halo,Halo
DAL-9Gt_70_90C3R_Halo,Halo
DAL-9Gt_87_97C3R_Halo,Halo
DAL-Ass_21_92C4R_Halo,Halo
DAL-Ass_37_98C3R_Halo,Halo
DAL-Ass_48_95C3R_Halo,Halo
DAL-WCL_na_97C3R_Halo,Halo
DAL-WCL_32_90C3R_Halo,Halo
DAL-WCL_32_99C4R_Halo,Halo
GCA_000022205.1_Halorubrum,Halo
GCA_000223905.1_Haloarcula,Halo
GCA_000283335.1_Halogranum,Halo
GCA_013267195.1_Halorubrum,Halo
GCF_000493245.1_Natrinema_sp.J7-1,Halo
NZ_CP040330_Natrinema_versiforme_strain_BOL5-4,Halo
NC_014729_Halogeometricum,Halo
DAL-Ass_40_71C5R_Nanohalo,Nanohalo
DAL-Ass_40_74C4R_Nanohalo,Nanohalo
DAL-Ass_40_76C3R_Nanohalo,Nanohalo
DAL-Ass_40_79C3R_Nanohalo,Nanohalo
DAL-Ass_45_77C1R_Nanohalo,Nanohalo
DAL-WCL_22_74C1R_Nanohalo,Nanohalo
DAL-WCL_22_75C1R_Nanohalo,Nanohalo
DAL-WCL_22_76C1R_Nanohalo,Nanohalo
DAL-WCL_22_80C3R_Nanohalo,Nanohalo
DAL-WCL_33_80C1R_Nanohalo,Nanohalo
GCA_001761425.1_Nanohalo,Nanohalo
GCA_029207735.1_Nanohalo,Nanohalo
GCA_029232205.1_Nanohalo,Nanohalo
YSH_462411_Yangangviridae,Nitrosopumilus
YSH_922147_Yangangviridae,Nitrosopumilus
NC_010085_Nitrosopumilus,Nitrosopumilus
NZ_CP010868_Nitrosopumilus,Nitrosopumilus
DHTV-1,Halo_TV
DHTV-2,Halo_TV
DHTV-3,Halo_TV
DHTV-4,Halo_TV
DHTV-5,Halo_TV
DHTV-6,Halo_TV
DHTV-7,Halo_TV
DHTV-8,Halo_TV
Halogranum_virus_HGTV-1,Halo_TV
Halorubrum_virus_CGphi46,Halo_TV
Halorubrum_virus_HRTV-28,Halo_TV
DNTV-1,Nanohalo_TV
DNTV-2,Nanohalo_TV
DNTV-3,Nanohalo_TV
DNTVr_Ga0136257_100216,Nanohalo_TV
DNTVr_Ga0224631_1000253,Nanohalo_TV
DNTVr_Ga0246223_00001,Nanohalo_TV
DNTVr_Ga0246223_00002,Nanohalo_TV
DNTVr_JQ807243,Nanohalo_TV
DNTVr_MetavP1_100007,Nanohalo_TV
NC_003158_Saline_Natrinema_sp._J7-1_virus_1,Halo_IV
NC_074652_Natrinema_versiforme_icosahedral_virus_1,Halo_IV
DHIV-1,Halo_IV
DNIV-1,Nanohalo_IV
DNIVr_Ga0070914_100005,Nanohalo_IV
DNIVr_Ga0073156_100003,Nanohalo_IV
DNIVr_Ga0073162_1000026,Nanohalo_IV
DHPV-1,Halo_pleoV
JN882267_Halogeometricum_pleoV,Halo_pleoV
DNPV-1,Nanohalo_pleoV
JACOQA010000003_proVpleo,Nanohalo_pleoV
DHSV-1,Halo_SSV
NC_007914_His1_virus,Halo_SSV
OQ850971_BLv25_HaloSSV,Halo_SSV
DNSV-1,Nanohalo_SSV
DNSV-2,Nanohalo_SSV
DNSVr_Ga0307790_100011,Nanohalo_SSV
